duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,orig_ip_bytes,resp_ip_bytes,total_bytes,total_pkts,byte_rate,packet_rate,byte_ratio,packet_ratio,missed_bytes,proto,conn_state
0.0006389617919921875,58,51,1,1,86,79,165,2,165000.0,2000.0,1.0886075949367089,1.0,0,udp,SF
0.01249384880065918,57,50,1,1,85,78,163,2,13046.420090452837,160.07877411598574,1.0897435897435896,1.0,0,udp,SF
0.012782096862792969,54,47,1,1,82,75,157,2,12282.804745206297,156.46885025740505,1.0933333333333333,1.0,0,udp,SF
0.014168024063110352,54,47,1,1,82,75,157,2,11081.291173748423,141.16294488851494,1.0933333333333333,1.0,0,udp,SF
0.0022051334381103516,56,49,1,1,84,77,161,2,73011.45464374527,906.9745918477673,1.0909090909090908,1.0,0,udp,SF
0.00964498519897461,57,50,1,1,85,78,163,2,16899.97409403273,207.36164532555495,1.0897435897435896,1.0,0,udp,SF
0.04865121841430664,58,51,1,1,86,79,165,2,3391.487518254614,41.10893961520744,1.0886075949367089,1.0,0,udp,SF
0.005015134811401367,54,47,1,1,82,75,157,2,31305.240218683146,398.7928690278108,1.0933333333333333,1.0,0,udp,SF
0.034088850021362305,62,55,1,1,90,83,173,2,5074.973191867337,58.67021031060506,1.0843373493975903,1.0,0,udp,SF
0.029629945755004883,57,50,1,1,85,78,163,2,5501.191306516894,67.49927983456311,1.0897435897435896,1.0,0,udp,SF
0.011678934097290039,54,47,1,1,82,75,157,2,13443.00761457589,171.24850464427885,1.0933333333333333,1.0,0,udp,SF
0.0003669261932373047,54,47,1,1,82,75,157,2,157000.0,2000.0,1.0933333333333333,1.0,0,udp,SF
0.005912065505981445,57,50,1,1,85,78,163,2,27570.73646005565,338.2912449086583,1.0897435897435896,1.0,0,udp,SF
0.0015690326690673828,56,49,1,1,84,77,161,2,102610.99285822823,1274.6707187357545,1.0909090909090908,1.0,0,udp,SF
0.0006589889526367188,58,51,1,1,86,79,165,2,165000.0,2000.0,1.0886075949367089,1.0,0,udp,SF
115.962721,5679,2965,13,11,6372,3557,9929,24,85.62234409797955,0.2069630635866159,1.7913972448692719,1.1818181818181819,0,tcp,SF
